Top k,Data Structure,File division,Algorithm Approach,Filename,File Size (GB),Chunk Size (MB),Running time (seconds),Memory usage (MB),CPU utilization %
10,counter,chunks,multithread,small_50MB_dataset.txt,0.04,5,4.38,121.88,1.2
10,counter,chunks,multithread,small_50MB_dataset.txt,0.04,10,4.69,188.07,3.6
10,counter,chunks,multithread,small_50MB_dataset.txt,0.04,20,4.52,225.91,1.3
10,counter,chunks,multithread,small_50MB_dataset.txt,0.04,40,4.53,234.38,1.1
10,counter,chunks,singlethread,small_50MB_dataset.txt,0.04,5.73,4.07,54.63,1.30
10,counter,chunks,singlethread,small_50MB_dataset.txt,0.04,5,3.98,49.70,43.10
10,counter,chunks,singlethread,small_50MB_dataset.txt,0.04,100,3.86,51.27,2.60
10,counter,chunks,singlethread,small_50MB_dataset.txt,0.04,20,5.06,45.04,0.70
10,counter,chunks,singlethread,small_50MB_dataset.txt,0.04,40,5.28,74.64,2.20
10,counter,file,heapq,small_50MB_dataset.txt,0.04,,4.50,17.95,9.00
10,defaultdict,chunks,heapq,small_50MB_dataset.txt,0.04,5.73,1.81,96.75,2.00
10,defaultdict,chunks,heapq,small_50MB_dataset.txt,0.04,5,2.23,125.01,2.10
10,defaultdict,chunks,heapq,small_50MB_dataset.txt,0.04,10,1.82,163.85,5.30
10,defaultdict,chunks,heapq,small_50MB_dataset.txt,0.04,20,2.48,107.90,35.70
10,defaultdict,chunks,heapq,small_50MB_dataset.txt,0.04,40,5.65,137.95,17.40
10,defaultdict,chunks,multiprocess,small_50MB_dataset.txt,0.04,5.73,2.05,98.02,1.40
10,defaultdict,chunks,multiprocess,small_50MB_dataset.txt,0.04,5,2.22,127.02,1.30
10,defaultdict,chunks,multiprocess,small_50MB_dataset.txt,0.04,10,1.85,161.00,7.90
10,defaultdict,chunks,multiprocess,small_50MB_dataset.txt,0.04,20,2.81,109.95,5.80
10,defaultdict,chunks,multiprocess,small_50MB_dataset.txt,0.04,40,3.81,156.04,1.30
10,hashmap,file,singlethread,small_50MB_dataset.txt,0.04,,3.48,21.45,3.30
